iter	RMSE
0	9764.710583
1	9709.936065
2	9652.700943
3	9591.876286
4	9535.786918
5	9481.279998
6	9429.852058
7	9375.482829
8	9325.741764
9	9279.523755
10	9231.316247
11	9182.176696
12	9134.219047
13	9083.553166
14	9034.83467
15	8991.443902
16	8939.778057
17	8891.54344
18	8839.335939
19	8793.850491
20	8747.117388
21	8705.179037
22	8662.7348
23	8617.608212
24	8573.816951
25	8525.966313
26	8483.086874
27	8446.32027
28	8407.960811
29	8367.513934
30	8322.815866
31	8287.621152
32	8248.920999
33	8210.714272
34	8173.653965
35	8131.696807
36	8093.68917
37	8050.460932
38	8018.733162
39	7978.229145
40	7938.37918
41	7902.033178
42	7868.281732
43	7833.086197
44	7797.068741
45	7761.486026
46	7731.860463
47	7699.583434
48	7670.732799
49	7635.552097
50	7599.579084
51	7566.618962
52	7534.819358
53	7502.715581
54	7470.027893
55	7440.11673
56	7413.813741
57	7385.06595
58	7352.791951
59	7318.589255
60	7288.903224
61	7262.129405
62	7229.286096
63	7200.720885
64	7173.876125
65	7142.446167
66	7110.88888
67	7081.245369
68	7050.240967
69	7026.301785
70	6998.406367
71	6968.481855
72	6939.857361
73	6914.840893
74	6890.243176
75	6867.16416
76	6841.507478
77	6821.439149
78	6796.386948
79	6772.497743
80	6747.991484
81	6726.382781
82	6703.982082
83	6677.495758
84	6655.81758
85	6632.812159
86	6610.652056
87	6587.637811
88	6566.119747
89	6544.099509
90	6524.767378
91	6506.925382
92	6486.717585
93	6466.355057
94	6447.052659
95	6429.645277
96	6410.910609
97	6390.641105
98	6371.838423
99	6354.937396
100	6335.880325
101	6318.12192
102	6298.446336
103	6279.277647
104	6260.304183
105	6242.64905
106	6223.4777
107	6203.396753
108	6187.870215
109	6169.054136
110	6154.953359
111	6138.828716
112	6123.689083
113	6109.797399
114	6094.739465
115	6080.261942
116	6063.799622
117	6047.154616
118	6030.67895
119	6012.760247
120	5999.080246
121	5985.234193
122	5968.251015
123	5954.410994
124	5940.906268
125	5928.007889
126	5916.211356
127	5902.708553
128	5890.673823
129	5876.400784
130	5864.612393
131	5853.173879
132	5840.263715
133	5825.756157
134	5810.738904
135	5795.728344
136	5783.31617
137	5773.033485
138	5759.229593
139	5745.96871
140	5734.687128
141	5721.589171
142	5709.453171
143	5698.588758
144	5687.785714
145	5676.232176
146	5663.927137
147	5651.017138
148	5640.698388
149	5628.640285
150	5618.463626
151	5606.015508
152	5596.049449
153	5586.705699
154	5575.901303
155	5566.629355
156	5556.171426
157	5544.614022
158	5536.186077
159	5526.400753
160	5514.65266
161	5504.236555
162	5496.085718
163	5487.672938
164	5478.975136
165	5469.441696
166	5460.803747
167	5452.556282
168	5441.708838
169	5430.337555
170	5421.415253
171	5412.743344
172	5407.025656
173	5399.258491
174	5388.84496
175	5380.751013
176	5371.92149
177	5364.573297
178	5355.486839
179	5346.72872
180	5338.29548
181	5328.766536
182	5318.574392
183	5311.033305
184	5301.73468
185	5292.50241
186	5283.892975
187	5275.884398
188	5268.351541
189	5261.809859
190	5254.596188
191	5247.560115
192	5240.313952
193	5232.970292
194	5227.398983
195	5222.159696
196	5215.996466
197	5208.643256
198	5202.851249
199	5195.294995
200	5187.188214
201	5181.15652
202	5176.619117
203	5170.33009
204	5163.821559
205	5158.467656
206	5152.585174
207	5143.86964
208	5138.298122
209	5129.745171
210	5124.415226
211	5116.336574
212	5111.822469
213	5103.978469
214	5097.446456
215	5088.630596
216	5080.514203
217	5072.366265
218	5066.528974
219	5060.842396
220	5051.302575
221	5045.947796
222	5041.452591
223	5035.177126
224	5029.927612
225	5023.929011
226	5017.556725
227	5012.140057
228	5006.760622
229	4999.127018
230	4993.140324
231	4988.431138
232	4981.437108
233	4976.547439
234	4972.724089
235	4967.580795
236	4960.24158
237	4955.741358
238	4951.417195
